id,full_name,first_name,last_name,is_active,ptsAve,tovAve,blkAve,stlAve,astAve,rebAve,minAve
1630173,Precious Achiuwa,Precious,Achiuwa,True,7.760456273764259,1.0228136882129277,0.6349809885931559,0.5095057034220533,0.9809885931558935,5.688212927756654,19.870722433460077
203500,Steven Adams,Steven,Adams,True,9.23229461756374,1.4575070821529745,0.9560906515580736,0.8838526912181303,1.528328611898017,8.19830028328612,26.834277620396602
1628389,Bam Adebayo,Bam,Adebayo,True,15.3640081799591,2.1615541922290387,0.8916155419222904,1.0408997955010224,3.4907975460122698,8.742331288343559,30.02044989775051
1630534,Ochai Agbaji,Ochai,Agbaji,True,6.7299270072992705,0.7664233576642335,0.4306569343065693,0.45985401459854014,1.094890510948905,2.45985401459854,20.81021897810219
1630583,Santi Aldama,Santi,Aldama,True,8.717647058823529,0.8529411764705882,0.6588235294117647,0.5529411764705883,1.5058823529411764,4.764705882352941,21.529411764705884
1629638,Nickeil Alexander-Walker,Nickeil,Alexander-Walker,True,8.311036789297658,1.160535117056856,0.3879598662207358,0.6889632107023411,2.2040133779264215,2.2842809364548495,19.62541806020067
1628960,Grayson Allen,Grayson,Allen,True,10.530973451327434,0.9557522123893806,0.2743362831858407,0.7050147492625368,1.991150442477876,3.0147492625368733,25.61946902654867
1628386,Jarrett Allen,Jarrett,Allen,True,12.72633744855967,1.3786008230452675,1.2962962962962963,0.6049382716049383,1.625514403292181,9.137860082304528,28.238683127572017
1630631,Jose Alvarado,Jose,Alvarado,True,7.4678362573099415,0.9415204678362573,0.1871345029239766,1.152046783625731,2.6608187134502925,2.1578947368421053,18.549707602339183
203937,Kyle Anderson,Kyle,Anderson,True,6.920367534456355,1.0367534456355283,0.6248085758039816,1.0091883614088821,2.8070444104134764,4.3813169984686064,21.93415007656968
203507,Giannis Antetokounmpo,Giannis,Antetokounmpo,True,23.36111111111111,3.005050505050505,1.244949494949495,1.1401515151515151,4.867424242424242,9.762626262626263,32.75883838383838
1630175,Cole Anthony,Cole,Anthony,True,13.379446640316205,1.948616600790514,0.40711462450592883,0.6996047430830039,4.07905138339921,4.616600790513834,26.486166007905137
1628384,OG Anunoby,OG,Anunoby,True,11.964114832535886,1.3086124401913874,0.5358851674641149,1.2607655502392345,1.5956937799043063,4.2727272727272725,29.064593301435405
1627853,Ryan Arcidiacono,Ryan,Arcidiacono,True,4.011673151750973,0.5252918287937743,0.027237354085603113,0.47470817120622566,1.894941634241245,1.7587548638132295,15.330739299610896
1630166,Deni Avdija,Deni,Avdija,True,9.846689895470384,1.4041811846689896,0.43205574912891986,0.7526132404181185,2.533101045296167,5.97212543554007,26.195121951219512
1629028,Deandre Ayton,Deandre,Ayton,True,16.664804469273744,1.729050279329609,0.952513966480447,0.729050279329609,1.6340782122905029,10.505586592178771,30.907821229050278
1628962,Udoka Azubuike,Udoka,Azubuike,True,3.0476190476190474,0.44047619047619047,0.42857142857142855,0.10714285714285714,0.16666666666666666,2.7976190476190474,8.607142857142858
1628963,Marvin Bagley III,Marvin,Bagley III,True,12.957364341085272,1.2364341085271318,0.6705426356589147,0.4689922480620155,0.937984496124031,6.996124031007752,24.04263565891473
1631116,Patrick Baldwin Jr.,Patrick,Baldwin Jr.,True,4.202898550724638,0.43478260869565216,0.2753623188405797,0.34782608695652173,0.5797101449275363,2.36231884057971,10.420289855072463
1630163,LaMelo Ball,LaMelo,Ball,True,19.972826086956523,3.2717391304347827,0.3423913043478261,1.5543478260869565,7.413043478260869,6.233695652173913,31.902173913043477
1628366,Lonzo Ball,Lonzo,Ball,True,11.884920634920634,2.5277777777777777,0.6428571428571429,1.5515873015873016,6.2023809523809526,5.742063492063492,32.48809523809524
1628964,Mo Bamba,Mo,Bamba,True,6.996987951807229,0.8042168674698795,1.2921686746987953,0.3704819277108434,0.8674698795180723,5.52710843373494,17.174698795180724
1631094,Paolo Banchero,Paolo,Banchero,True,21.32236842105263,2.9407894736842106,0.5657894736842105,0.8618421052631579,4.605263157894737,6.9144736842105265,34.39473684210526
1630217,Desmond Bane,Desmond,Bane,True,17.43032786885246,1.6721311475409837,0.36475409836065575,0.9508196721311475,3.319672131147541,4.180327868852459,28.975409836065573
1630625,Dalano Banton,Dalano,Banton,True,6.067114093959732,0.9932885906040269,0.28859060402684567,0.4966442953020134,1.7583892617449663,2.3288590604026846,13.563758389261745
1631230,Dominick Barlow,Dominick,Barlow,True,4.163934426229508,0.39344262295081966,0.5409836065573771,0.36065573770491804,0.9836065573770492,3.5245901639344264,13.557377049180328
203084,Harrison Barnes,Harrison,Barnes,True,14.046103183315038,1.1789242590559825,0.1800219538968167,0.6948408342480791,1.7596048298572997,4.864983534577387,31.62019758507135
1630567,Scottie Barnes,Scottie,Barnes,True,16.606635071090047,2.156398104265403,0.966824644549763,1.127962085308057,4.691943127962086,7.407582938388626,35.018957345971565
1629628,RJ Barrett,RJ,Barrett,True,18.44984802431611,2.139817629179331,0.2735562310030395,0.6474164133738601,2.9240121580547114,5.422492401215806,33.27051671732523
1629646,Charles Bassey,Charles,Bassey,True,4.298701298701299,0.8311688311688312,0.8701298701298701,0.37662337662337664,0.987012987012987,4.298701298701299,11.441558441558442
1641734,Emoni Bates,Emoni,Bates,True,2.7333333333333334,0.5333333333333333,0.13333333333333333,0.06666666666666667,0.6666666666666666,0.9333333333333333,8.866666666666667
1628966,Keita Bates-Diop,Keita,Bates-Diop,True,5.996466431095406,0.5441696113074205,0.3498233215547703,0.5159010600706714,0.8515901060070671,2.9964664310954063,16.13427561837456
